<<<<<<< HEAD
escuela nereo nievas,"https://www.google.com/maps/place/escuela+nereo+nievas/@-29.2530075,-67.4373482,4982m/data=!3m1!1e3!4m15!1m8!3m7!1s0x969d64675dc30bc7:0x22d447586b589aa!2sChilecito,+La+Rioja!3b1!8m2!3d-29.1611279!4d-67.4962016!16zL20vMGQzODE2!3m5!1s0x969d605e9532bc8b:0x1c49b57c5c841c0f!8m2!3d-29.2485984!4d-67.4233374!16s%2Fg%2F11dz3w85jy?entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",https://lh3.googleusercontent.com/p/AF1QipNm5BiGfOAvdRUunR-7vEXEzeai6pxWjpe2QjGI=w408-h306-k-no,556677889,www.lunaartesanias.com,https://www.instagram.com/gobmunchilecito/p/C7EZngBOuMW/,https://www.facebook.com/media/set/?set=a.1761412710815639&type=3&comment_id=1762218554068388&_rdr,Escuela de educación primaria,06:00-18:00,No,Gratuito,Talleres de cerámica los jueves,N/A
La Rosadita ,"https://www.google.com/maps/@-29.1708059,-67.4460369,127a,35y,52.95h,45t/data=!3m1!1e3?entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",https://imgur.com/a/la-rosadita-malligasta-zobKwio,998877665,www.elsaber.com,@elsaber,Librería El Saber,Libros: $10-$50,9:00-21:00,No,"Efectivo, Tarjeta",Club de lectura los martes,N/A
Cascada del Río Azul,Parque Nacional Río Azul,url_cascada.jpg,N/A,www.rioazul.com,N/A,Parque Río Azul,Entrada: $5,Abierto todo el día,No,Efectivo,N/A,N/A
Montaña del Cerro Verde,"Cerro Verde, Ciudad",url_montana.jpg,N/A,www.cerroverde.com,N/A,Cerro Verde,Entrada: $10,Amanecer-Atardecer,No,Efectivo,N/A,N/A
Museo de Historia Local,"Calle del Museo 202, Ciudad",url_museo.jpg,112233445,www.museolocal.com,@museolocal,Museo Local,Entrada: $8,10:00-17:00,No,"Efectivo, Tarjeta",Exposiciones temporales los fines de semana,N/A
Playa del Sol,"Costa del Sol, Ciudad",url_playa.jpg,N/A,www.playadelsol.com,N/A,Playa del Sol,Alquiler de sombrillas: $5,Abierto todo el día,No,Efectivo,N/A,N/A
Parque de Aventuras Xtremo,"Avenida Xtremo, Ciudad",url_parque.jpg,556677889,www.xtremepark.com,@xtremepark,Parque Xtremo,"Entrada: $20, Actividades: $10-$30",10:00-20:00,No,"Efectivo, Tarjeta",N/A,N/A
Pizzería La Italiana,"Calle de la Pizza 303, Ciudad",url_pizzeria.jpg,998877665,www.laitaliana.com,@laitaliana,Pizzería Italiana,Pizzas: $10-$20,18:00-23:00,Sí,"Efectivo, Tarjeta",N/A,Pizzería
Heladería El Polo Norte,"Avenida del Helado 404, Ciudad",url_heladeria.jpg,123456789,www.elpolonorte.com,@elpolonorte,Heladería Polo Norte,Helados: $3-$8,12:00-22:00,Sí,"Efectivo, Tarjeta",N/A,Heladería
Cervecería Artesanal La Birra,"Calle de la Cerveza 505, Ciudad",url_cerveceria.jpg,987654321,www.labirra.com,@labirra,Cervecería La Birra,"Cervezas: $5-$10, Tapas: $8-$15",18:00-00:00,No,"Efectivo, Tarjeta",N/A,Cervecería
Restaurante de Mariscos El Puerto,"Puerto Pesquero, Ciudad",url_mariscos.jpg,112233445,www.elpuerto.com,@elpuerto,Restaurante El Puerto,Mariscos: $15-$30,12:00-22:00,No,"Efectivo, Tarjeta",N/A,Marisquería
Panadería El Horno Caliente,"Calle del Pan 606, Ciudad",url_panaderia.jpg,556677889,www.elhorno.com,@elhorno,Panadería El Horno,"Pan: $1-$5, Pasteles: $3-$10",7:00-20:00,Sí,Efectivo,N/A,Panadería
Festival de la Trucha,"Plaza Central, Ciudad",url_festival.jpg,N/A,www.festivaltrucha.com,@festivaltrucha,Festival Trucha,Entrada: $5,2024-12-10,N/A,Conciertos y degustación,Comida regional,
Feria de Artesanías,"Parque de las Artes, Ciudad",url_feria.jpg,N/A,www.feriaartesanias.com,@feriaartesanias,Feria Artesanías,Entrada libre,2024-12-15,N/A,Exposición y venta de artesanías locales,N/A,
Concierto de Rock,"Estadio Municipal, Ciudad",url_concierto.jpg,N/A,www.conciertorock.com,@conciertorock,Concierto Rock,Entrada: $20,2024-12-20,N/A,Bandas de rock locales e invitadas,N/A,
Noche de Estrellas,"Observatorio Astronómico, Ciudad",url_estrellas.jpg,N/A,www.nocheestrellas.com,@nocheestrellas,Noche Estrellas,Entrada: $10,2024-12-25,N/A,Observación de estrellas y planetas,N/A,
Maratón de la Ciudad,Calles de la Ciudad,url_maraton.jpg,N/A,www.maratonciudad.com,@maratonciudad,Maratón Ciudad,Inscripción: $15,2024-12-31,N/A,Carrera de 10 km y 21 km,N/A,
El Gran Asador,"Calle de la Carne 707, Ciudad",url_asador.jpg,123123123,www.elgranasador.com,@elgranasador,El Gran Asador,Parrillada: $20-$40,12:00-23:00,Sí,"Efectivo, Tarjeta",N/A,Asador
Sushi Bar Sakura,"Avenida del Pescado 808, Ciudad",url_sushi.jpg,456456456,www.sakurasushi.com,@sakurasushi,Sushi Sakura,Sushi: $15-$35,18:00-23:00,Sí,"Efectivo, Tarjeta",N/A,Sushi
Tapas Bar La Bodega,"Calle del Vino 909, Ciudad",url_bodega.jpg,789789789,www.labodega.com,@labodega,Bodega La Bodega,Tapas: $8-$18,19:00-01:00,No,"Efectivo, Tarjeta",N/A,Tapas
Comida Vegana El Jardín,"Avenida de la Huerta 1010, Ciudad",url_jardin.jpg,321321321,www.eljardinvegano.com,@eljardinvegano,Jardín Vegano,Platos veganos: $12-$25,12:00-21:00,Sí,"Efectivo, Tarjeta",N/A,Vegana
Hamburguesería El Toro,"Calle de la Hamburguesa 1111, Ciudad",url_toro.jpg,654654654,www.eltoro.com,@eltoro,Toro Burger,Hamburguesas: $8-$15,18:00-00:00,Sí,"Efectivo, Tarjeta",N/A,Hamburguesería
Mercado de Productos Locales,"Plaza del Mercado, Ciudad",url_mercado.jpg,N/A,www.mercadolocal.com,@mercadolocal,Mercado Local,Productos locales: $2-$20,8:00-16:00,No,Efectivo,N/A,N/A
Clases de Cocina Italiana,"Calle de la Cocina 1212, Ciudad",url_clases.jpg,987987987,www.clasescocina.com,@clasescocina,Clases Cocina,Clases: $30-$50,10:00-14:00,N/A,"Efectivo, Tarjeta",N/A,N/A
Gimnasio Power Fit,"Avenida del Deporte 1313, Ciudad",url_gimnasio.jpg,159159159,www.powerfit.com,@powerfit,Power Fit Gym,Mensualidad: $40-$60,6:00-22:00,N/A,"Efectivo, Tarjeta",N/A,N/A
Spa Relajación Total,"Calle del Relax 1414, Ciudad",url_spa.jpg,753753753,www.relaja.com,@relaja,Spa Relax,Masajes: $50-$100,10:00-20:00,N/A,"Efectivo, Tarjeta",N/A,N/A
Salón de Belleza Glamour,"Avenida de la Moda 1515, Ciudad",url_belleza.jpg,357357357,www.glamour.com,@glamour,Glamour Beauty,Peluquería: $20-$50,9:00-21:00,N/A,"Efectivo, Tarjeta",N/A,N/A
Tienda de Mascotas Patitas,"Calle de los Animales 1616, Ciudad",url_mascotas.jpg,951951951,www.patitas.com,@patitas,Patitas Pet Shop,Alimentos: $5-$20,10:00-19:00,Sí,"Efectivo, Tarjeta",N/A,N/A
Escuela de Idiomas Global,"Avenida del Saber 1717, Ciudad",url_idiomas.jpg,159357159,www.globalidiomas.com,@globalidiomas,Global Languages,Cursos: $60-$120,9:00-21:00,N/A,"Efectivo, Tarjeta",N/A,N/A
Clases de Yoga Zen,"Calle de la Paz 1818, Ciudad",url_yoga.jpg,753159753,www.zenyoga.com,@zenyoga,Zen Yoga,Clases: $15-$30,8:00-20:00,N/A,"Efectivo, Tarjeta",N/A,N/A
Estudio de Tatuajes Ink Art,"Avenida de la Tinta 1919, Ciudad",url_tatuajes.jpg,357951357,www.inkart.com,@inkart,Ink Art Tattoo,Tatuajes: $50-$200,12:00-22:00,N/A,"Efectivo, Tarjeta",N/A,N/A
Tienda de Música Melodías,"Calle de las Notas 2020, Ciudad",url_musica.jpg,951357951,www.melodias.com,@melodias,Melodías Music,Instrumentos: $20-$100,10:00-20:00,Sí,"Efectivo, Tarjeta",N/A,N/A
Galería de Arte Moderno,"Avenida del Arte 2121, Ciudad",url_galeria.jpg,159753159,www.artecontemporaneo.com,@artecontemporaneo,Arte Contemporáneo,Entrada: $10,11:00-19:00,No,"Efectivo, Tarjeta",N/A,N/A
Teatro Municipal,"Calle del Teatro 2222, Ciudad",url_teatro.jpg,753951753,www.teatromunicipal.com,@teatromunicipal,Teatro Municipal,Entradas: $15-$40,Funciones variables,No,"Efectivo, Tarjeta",N/A,N/A
Cineplex Ciudad,"Avenida del Cine 2323, Ciudad",url_cine.jpg,357159357,www.cineplex.com,@cineplex,Cineplex Ciudad,Entradas: $8-$15,Funciones variables,Sí,"Efectivo, Tarjeta",N/A,N/A
Bolera Strike Zone,"Calle de los Bolos 2424, Ciudad",url_bolera.jpg,951753951,www.strikezone.com,@strikezone,Strike Zone Bowling,Partida: $5-$10,16:00-00:00,No,"Efectivo, Tarjeta",N/A,N/A
Parque Acuático Splash,"Avenida del Agua 2525, Ciudad",url_parqueacuatico.jpg,159357159,www.splashpark.com,@splashpark,Splash Park,Entrada: $25,10:00-18:00,No,"Efectivo, Tarjeta",N/A,N/A
Jardín Botánico,"Calle de las Flores 2626, Ciudad",url_jardinbotanico.jpg,N/A,www.jardinbotanico.com,@jardinbotanico,Jardín Botánico,Entrada libre,Abierto todo el día,No,Efectivo,N/A,N/A
Zoológico de la Ciudad,"Avenida de los Animales 2727, Ciudad",url_zoologico.jpg,753159753,www.zoologico.com,@zoologico,Zoológico Ciudad,Entrada: $12,9:00-17:00,No,"Efectivo, Tarjeta",N/A,N/A
Planetario Estelar,"Calle de las Estrellas 2828, Ciudad",url_planetario.jpg,357951357,www.planetario.com,@planetario,Planetario Estelar,Entrada: $8,Funciones variables,No,"Efectivo, Tarjeta",N/A,N/A
Parque de Atracciones Funland,"Avenida de la Diversión 2929, Ciudad",url_funland.jpg,951357951,www.funland.com,@funland,Funland Park,Entrada: $30,12:00-22:00,No,"Efectivo, Tarjeta",N/A,N/A
Campo de Golf Green Valley,"Calle del Golf 3030, Ciudad",url_golf.jpg,159753159,www.greenvalleygolf.com,@greenvalleygolf,Green Valley Golf,Green fee: $40-$80,7:00-19:00,N/A,"Efectivo, Tarjeta",N/A,N/A
Restaurante El Buen Sabor,"Calle del Gusto 3131, Ciudad",url_buensabor.jpg,753951753,www.elbuensabor.com,@elbuensabor,El Buen Sabor,Menú: $12-$28,12:00-22:00,Sí,"Efectivo, Tarjeta",N/A,N/A
Café Aromas del Mundo,"Avenida del Café 3232, Ciudad",url_aromasmundo.jpg,357159357,www.aromasmundo.com,@aromasmundo,Aromas del Mundo,"Café: $4-$9, Postres: $6-$12",8:00-21:00,Sí,"Efectivo, Tarjeta",N/A,N/A
Restaurante La Parrilla Argentina,"Calle de la Carne 3333, Ciudad",url_parrilla.jpg,951753951,www.laparrillaargentina.com,@laparrillaargentina,La Parrilla Argentina,Parrillada: $25-$45,12:00-23:00,Sí,"Efectivo, Tarjeta",N/A,N/A
Cervecería El Barril Dorado,"Avenida de la Cerveza 3434, Ciudad",url_barril.jpg,159357159,www.barrildorado.com,@barrildorado,Barril Dorado,"Cervezas: $6-$12, Tapas: $9-$18",18:00-01:00,No,"Efectivo, Tarjeta",N/A,N/A
Restaurante de Comida Mexicana El Sombrero,"Calle del Taco 3535, Ciudad",url_sombrero.jpg,753159753,www.elsombrero.com,@elsombrero,El Sombrero,"Tacos: $10-$20, Burritos: $12-$25",12:00-22:00,Sí,"Efectivo, Tarjeta",N/A,N/A
Panadería La Espiga Dorada,"Avenida del Pan 3636, Ciudad",url_espiga.jpg,357951357,www.espigadorada.com,@espigadorada,Espiga Dorada,"Pan: $2-$6, Pasteles: $4-$12",7:00-20:00,Sí,Efectivo,N/A,N/A
Festival de la Paella Gigante,"Plaza Central, Ciudad",url_paella.jpg,N/A,www.festivalpaella.com,@festivalpaella,Festival Paella,Entrada: $6,2024-12-12,N/A,Degustación de paella y música en vivo,N/A,
Feria de Productos Orgánicos,"Parque de la Naturaleza, Ciudad",url_organicos.jpg,N/A,www.feriaorganicos.com,@feriaorganicos,Feria Orgánicos,Entrada libre,2024-12-17,N/A,Venta de productos orgánicos y talleres,N/A,
Concierto de Música Clásica,"Teatro Municipal, Ciudad",url_clasica.jpg,N/A,www.conciertoclasica.com,@conciertoclasica,Concierto Clásica,Entrada: $25,2024-12-22,N/A,Orquesta sinfónica y solistas invitados,N/A,
Noche de Observación Astronómica,"Observatorio Astronómico, Ciudad",url_observacion.jpg,N/A,www.nocheobservacion.com,@nocheobservacion,Noche Observación,Entrada: $12,2024-12-27,N/A,Observación de constelaciones y planetas,N/A,
Carrera de Autos ,Calles de la Ciudad,url_carrera.jpg,N/A,www.carreraclasicos.com,@carreraclasicos,Carrera Clásicos,Inscripción: $20,2025-01-01,N/A,Exhibición y carrera de autos antiguos,N/A,
Restaurante El Bajón ,Calle del bajón ,null,N/A,www.bajón.com,N/A,noche ,Parrillada: $200,24 horas,no,Efectivo,n/a,
>>>>>>> e707900abc7e99db73049c63d590af7cb1a84006
